model_key,N,question_type,answer,ground_truth,label,sub_label,ambiguous
llama,2,person_timestep_lookup,4,2,single_transfer,doubled,False
llama,2,person_timestep_lookup,19,8,unexplained,,False
llama,2,trajectory,10,4,single_transfer,missed,False
llama,2,person_timestep_lookup,6,8,single_transfer,missed,False
llama,2,trajectory,4,2,single_transfer,missed,False
llama,2,trajectory,8,0,single_transfer,sign_flipped,False
llama,2,person_timestep_lookup,2,3,single_transfer,doubled,False
llama,2,trajectory,9,7,single_transfer,missed,False
llama,2,person_timestep_lookup,0,1,single_transfer,missed,False
llama,2,trajectory,1,0,single_transfer,missed,False
llama,2,person_timestep_lookup,9,6,wrong_timestep,missed,True
llama,2,trajectory,1,4,wrong_timestep,missed,True
llama,2,person_timestep_lookup,8,10,wrong_timestep,sign_flipped,True
llama,2,trajectory,2,0,wrong_timestep,sign_flipped,True
llama,2,person_timestep_lookup,5,10,stale,missed,True
llama,2,person_timestep_lookup,9,3,wrong_timestep,missed,True
llama,2,person_timestep_lookup,2,0,single_transfer,sign_flipped,False
llama,2,trajectory,2,0,single_transfer,sign_flipped,False
llama,2,person_timestep_lookup,3,2,single_transfer,missed,False
llama,2,trajectory,9,10,single_transfer,missed,False
llama,2,trajectory,10,8,wrong_timestep,doubled,True
llama,2,person_timestep_lookup,10,3,single_transfer,missed,False
llama,2,trajectory,14,3,unexplained,,False
llama,2,person_timestep_lookup,1,0,single_transfer,missed,False
llama,2,trajectory,11,4,unexplained,,False
llama,2,person_timestep_lookup,1,5,unexplained,,False
llama,2,trajectory,14,0,unexplained,,False
llama,2,person_timestep_lookup,8,9,single_transfer,doubled,False
llama,2,trajectory,0,1,single_transfer,missed,False
llama,2,person_timestep_lookup,13,8,single_transfer,missed,False
llama,2,trajectory,8,3,wrong_timestep,missed,True
llama,2,person_timestep_lookup,3,10,single_transfer,missed,False
llama,2,trajectory,10,4,single_transfer,missed,False
llama,2,person_timestep_lookup,10,4,single_transfer,missed,False
llama,2,trajectory,10,4,single_transfer,missed,False
llama,2,person_timestep_lookup,7,9,unexplained,,False
llama,2,trajectory,3,2,single_transfer,missed,False
llama,2,person_timestep_lookup,3,4,wrong_timestep,,False
llama,2,trajectory,6,4,stale,,True
llama,2,trajectory,13,10,single_transfer,missed,False
llama,4,person_timestep_lookup,10,8,unexplained,,False
llama,4,trajectory,2,4,stale,missed,True
llama,4,person_timestep_lookup,2,5,stale,,True
llama,4,trajectory,3,0,stale,missed,True
llama,4,person_timestep_lookup,1,5,single_transfer,doubled,False
llama,4,trajectory,2,9,wrong_person,missed,True
llama,4,person_timestep_lookup,5,1,wrong_person,missed,True
llama,4,trajectory,1,2,wrong_person,missed,True
llama,4,person_timestep_lookup,16,10,wrong_timestep,,False
llama,4,trajectory,2,4,stale,doubled,True
llama,4,person_timestep_lookup,2,3,wrong_timestep,missed,True
llama,4,trajectory,2,3,wrong_person,missed,True
llama,4,person_timestep_lookup,4,3,single_transfer,missed,False
llama,4,trajectory,4,7,single_transfer,missed,False
llama,4,trajectory,11,4,stale,,True
llama,4,person_timestep_lookup,7,4,stale,missed,True
llama,4,person_timestep_lookup,9,5,single_transfer,missed,False
llama,4,trajectory,3,6,single_transfer,missed,False
llama,4,person_timestep_lookup,6,2,stale,,True
llama,4,trajectory,21,10,unexplained,,False
llama,4,person_timestep_lookup,3,1,unexplained,,False
llama,4,trajectory,1,2,single_transfer,missed,False
llama,4,trajectory,1,0,stale,missed,True
llama,4,trajectory,6,7,single_transfer,missed,False
llama,4,trajectory,1,0,stale,doubled,True
llama,4,person_timestep_lookup,1,0,stale,missed,True
llama,4,trajectory,1,0,stale,missed,True
llama,4,trajectory,2,0,wrong_timestep,missed,True
llama,4,person_timestep_lookup,8,5,single_transfer,doubled,False
llama,4,trajectory,4,1,stale,missed,True
llama,4,trajectory,6,5,single_transfer,missed,False
llama,4,person_timestep_lookup,1,5,wrong_timestep,,False
llama,4,trajectory,2,1,stale,missed,True
llama,4,trajectory,4,8,stale,missed,True
llama,4,person_timestep_lookup,3,1,stale,,True
llama,4,trajectory,0,14,wrong_timestep,missed,True
llama,4,person_timestep_lookup,7,8,wrong_timestep,missed,True
llama,4,trajectory,11,10,single_transfer,missed,False
llama,4,person_timestep_lookup,6,5,unexplained,,False
llama,4,trajectory,2,1,wrong_timestep,missed,True
llama,4,person_timestep_lookup,7,12,stale,,True
llama,4,trajectory,7,12,stale,,True
llama,4,person_timestep_lookup,0,12,wrong_person,missed,True
llama,4,trajectory,5,9,wrong_person,missed,True
llama,4,person_timestep_lookup,23,3,unexplained,,False
llama,4,trajectory,0,7,wrong_timestep,,False
llama,4,person_timestep_lookup,5,12,wrong_timestep,,False
llama,4,trajectory,5,2,wrong_person,missed,True
llama,4,person_timestep_lookup,3,5,single_transfer,doubled,False
llama,4,trajectory,5,1,wrong_timestep,missed,True
llama,4,person_timestep_lookup,3,4,stale,doubled,True
llama,6,person_timestep_lookup,9,0,unexplained,,False
llama,6,trajectory,9,11,single_transfer,missed,False
llama,6,trajectory,2,5,wrong_person,missed,True
llama,6,person_timestep_lookup,7,14,unexplained,,False
llama,6,trajectory,6,13,stale,,True
llama,6,person_timestep_lookup,3,0,wrong_person,,False
llama,6,trajectory,6,8,stale,doubled,True
llama,6,person_timestep_lookup,5,2,single_transfer,missed,False
llama,6,trajectory,5,6,single_transfer,doubled,False
llama,6,trajectory,2,0,wrong_person,sign_flipped,True
llama,6,person_timestep_lookup,13,10,wrong_timestep,missed,True
llama,6,trajectory,4,2,stale,,True
llama,6,person_timestep_lookup,2,7,wrong_person,,True
llama,6,person_timestep_lookup,8,1,stale,,True
llama,6,trajectory,12,5,unexplained,,False
llama,6,person_timestep_lookup,5,0,wrong_person,,True
llama,6,trajectory,1,12,stale,,True
llama,6,person_timestep_lookup,15,14,wrong_timestep,missed,True
llama,6,trajectory,3,7,stale,missed,True
llama,6,trajectory,2,1,single_transfer,missed,False
llama,6,person_timestep_lookup,5,17,stale,,True
llama,6,trajectory,1,3,wrong_person,missed,True
llama,6,person_timestep_lookup,2,3,wrong_person,doubled,True
llama,6,person_timestep_lookup,27,11,unexplained,,False
llama,6,trajectory,1,3,wrong_person,missed,True
llama,6,person_timestep_lookup,5,0,wrong_person,missed,True
llama,6,trajectory,9,5,unexplained,,False
llama,6,person_timestep_lookup,5,11,wrong_person,missed,True
llama,6,trajectory,0,6,single_transfer,missed,False
llama,6,person_timestep_lookup,1,8,stale,missed,True
llama,6,trajectory,3,8,wrong_person,missed,True
llama,6,person_timestep_lookup,2,5,single_transfer,missed,False
llama,6,trajectory,7,2,wrong_timestep,,False
llama,6,person_timestep_lookup,7,4,unexplained,,False
llama,6,trajectory,13,14,wrong_timestep,missed,True
llama,6,person_timestep_lookup,8,10,single_transfer,sign_flipped,False
llama,6,trajectory,9,0,stale,missed,True
llama,6,person_timestep_lookup,7,0,wrong_timestep,doubled,True
llama,6,trajectory,1,7,unexplained,,False
llama,6,person_timestep_lookup,14,0,single_transfer,doubled,False
llama,6,trajectory,2,0,stale,missed,True
llama,6,person_timestep_lookup,5,3,stale,,True
llama,6,trajectory,2,5,wrong_timestep,,False
llama,6,person_timestep_lookup,9,3,stale,,True
llama,6,trajectory,0,2,single_transfer,missed,False
llama,6,person_timestep_lookup,10,3,wrong_timestep,missed,True
llama,6,trajectory,2,1,wrong_timestep,doubled,True
llama,6,person_timestep_lookup,4,0,wrong_timestep,doubled,True
llama,6,trajectory,4,5,stale,missed,True
llama,6,person_timestep_lookup,1,2,single_transfer,doubled,False
llama,6,trajectory,5,6,single_transfer,missed,False
llama,6,trajectory,12,7,single_transfer,missed,False
llama,8,person_timestep_lookup,1,5,wrong_person,missed,True
llama,8,trajectory,7,0,stale,,True
llama,8,person_timestep_lookup,10,2,single_transfer,missed,False
llama,8,trajectory,2,0,stale,sign_flipped,True
llama,8,person_timestep_lookup,4,0,unexplained,,False
llama,8,trajectory,2,6,unexplained,,False
llama,8,person_timestep_lookup,3,0,stale,missed,True
llama,8,trajectory,8,7,wrong_person,doubled,True
llama,8,person_timestep_lookup,1,0,single_transfer,missed,False
llama,8,trajectory,4,19,stale,,True
llama,8,person_timestep_lookup,4,8,wrong_timestep,,False
llama,8,trajectory,6,4,stale,missed,True
llama,8,person_timestep_lookup,15,1,unexplained,,False
llama,8,trajectory,3,0,stale,missed,True
llama,8,person_timestep_lookup,3,8,stale,,True
llama,8,trajectory,2,3,wrong_person,doubled,True
llama,8,trajectory,10,6,single_transfer,doubled,False
llama,8,person_timestep_lookup,1,3,stale,,True
llama,8,trajectory,5,12,unexplained,,False
llama,8,person_timestep_lookup,1,2,single_transfer,doubled,False
llama,8,trajectory,4,3,stale,missed,True
llama,8,person_timestep_lookup,8,9,single_transfer,missed,False
llama,8,trajectory,5,2,stale,missed,True
llama,8,person_timestep_lookup,8,12,stale,missed,True
llama,8,trajectory,11,12,stale,missed,True
llama,8,person_timestep_lookup,5,8,single_transfer,missed,False
llama,8,trajectory,8,0,stale,missed,True
llama,8,person_timestep_lookup,11,1,wrong_timestep,sign_flipped,True
llama,8,trajectory,4,1,stale,,True
llama,8,person_timestep_lookup,11,8,single_transfer,missed,False
llama,8,trajectory,4,1,stale,missed,True
llama,8,person_timestep_lookup,1,0,stale,missed,True
llama,8,person_timestep_lookup,3,0,stale,,True
llama,8,trajectory,10,9,wrong_timestep,,False
llama,8,person_timestep_lookup,5,8,unexplained,,False
llama,8,trajectory,2,0,stale,missed,True
llama,8,person_timestep_lookup,1,2,stale,doubled,True
llama,8,trajectory,1,0,stale,missed,True
llama,8,person_timestep_lookup,0,5,wrong_person,missed,True
llama,8,person_timestep_lookup,5,14,unexplained,,False
llama,8,trajectory,3,0,stale,missed,True
llama,8,person_timestep_lookup,0,9,wrong_person,,True
llama,8,person_timestep_lookup,2,1,wrong_timestep,missed,True
llama,8,trajectory,4,5,stale,,True
llama,8,person_timestep_lookup,3,13,wrong_timestep,missed,True
llama,8,trajectory,2,1,wrong_timestep,missed,True
llama,8,person_timestep_lookup,1,10,wrong_person,,False
llama,8,trajectory,11,9,stale,missed,True
llama,8,person_timestep_lookup,5,7,stale,missed,True
llama,8,trajectory,12,17,wrong_timestep,missed,True
llama,8,person_timestep_lookup,4,0,single_transfer,missed,False
llama,8,trajectory,1,0,stale,missed,True
llama,8,person_timestep_lookup,0,15,wrong_person,,False
llama,8,trajectory,5,9,wrong_person,sign_flipped,True
llama,8,person_timestep_lookup,19,0,wrong_person,,False
llama,8,trajectory,6,3,stale,,True
llama,10,person_timestep_lookup,3,0,stale,doubled,True
llama,10,trajectory,3,0,stale,doubled,True
llama,10,person_timestep_lookup,44,22,unexplained,,False
llama,10,trajectory,2,3,stale,missed,True
llama,10,person_timestep_lookup,16,14,single_transfer,sign_flipped,False
llama,10,trajectory,2,0,stale,missed,True
llama,10,person_timestep_lookup,5,9,wrong_person,sign_flipped,True
llama,10,trajectory,7,5,wrong_timestep,doubled,True
llama,10,person_timestep_lookup,2,4,wrong_person,sign_flipped,True
llama,10,trajectory,2,13,wrong_timestep,missed,True
llama,10,person_timestep_lookup,0,1,wrong_timestep,doubled,True
llama,10,trajectory,6,9,stale,missed,True
llama,10,trajectory,1,0,stale,missed,True
llama,10,person_timestep_lookup,10,12,single_transfer,doubled,False
llama,10,trajectory,5,3,stale,missed,True
llama,10,person_timestep_lookup,6,8,stale,,True
llama,10,trajectory,7,10,wrong_timestep,missed,True
llama,10,person_timestep_lookup,1,0,stale,missed,True
llama,10,trajectory,13,23,wrong_timestep,,False
llama,10,person_timestep_lookup,11,4,wrong_timestep,,False
llama,10,trajectory,3,2,wrong_person,missed,True
llama,10,person_timestep_lookup,7,2,stale,missed,True
llama,10,trajectory,8,9,stale,missed,True
llama,10,person_timestep_lookup,25,12,unexplained,,False
llama,10,trajectory,4,3,stale,missed,True
llama,10,person_timestep_lookup,4,7,stale,missed,True
llama,10,person_timestep_lookup,4,5,single_transfer,doubled,False
llama,10,trajectory,1,2,stale,doubled,True
llama,10,person_timestep_lookup,0,13,wrong_person,,True
llama,10,trajectory,1,0,wrong_person,missed,True
llama,10,person_timestep_lookup,6,1,wrong_person,,False
llama,10,trajectory,7,11,stale,missed,True
llama,10,person_timestep_lookup,8,11,stale,,True
llama,10,trajectory,3,0,wrong_person,,False
llama,10,person_timestep_lookup,16,3,unexplained,,False
llama,10,trajectory,1,3,stale,,True
llama,10,person_timestep_lookup,0,7,wrong_person,,False
llama,10,trajectory,6,5,wrong_person,,False
llama,10,person_timestep_lookup,9,5,single_transfer,sign_flipped,False
llama,10,trajectory,3,0,stale,missed,True
llama,10,person_timestep_lookup,3,2,stale,missed,True
llama,10,trajectory,5,6,wrong_person,missed,True
llama,10,trajectory,2,6,stale,missed,True
llama,10,person_timestep_lookup,11,3,single_transfer,sign_flipped,False
llama,10,person_timestep_lookup,11,8,stale,,True
llama,10,person_timestep_lookup,7,2,single_transfer,missed,False
llama,10,trajectory,1,14,wrong_person,,True
llama,10,person_timestep_lookup,4,3,wrong_timestep,,False
llama,10,trajectory,6,9,stale,,True
llama,10,person_timestep_lookup,1,0,wrong_person,doubled,True
llama,10,trajectory,4,2,stale,missed,True
llama,12,person_timestep_lookup,5,6,wrong_timestep,missed,True
llama,12,person_timestep_lookup,5,2,wrong_person,missed,True
llama,12,person_timestep_lookup,10,3,wrong_timestep,missed,True
llama,12,person_timestep_lookup,11,1,wrong_timestep,,False
llama,12,person_timestep_lookup,5,3,wrong_timestep,sign_flipped,True
llama,12,trajectory,3,5,single_transfer,sign_flipped,False
llama,12,person_timestep_lookup,4,7,wrong_timestep,doubled,True
llama,12,trajectory,4,10,stale,,True
llama,12,person_timestep_lookup,25,14,unexplained,,False
llama,12,trajectory,4,0,stale,missed,True
llama,12,person_timestep_lookup,4,1,wrong_person,,False
